,Label,Sub-Label,Book titles,Song titles,Movies titles
47,Emotions,Guilt,"""The Goldfinch"" by Donna Tartt","""The Night We Met"" by Lord Huron",A Clockwork Orange (1971) -
48,Emotions,Grief,"""A Grief Observed"" by C.S. Lewis","""Tears in Heaven"" by Eric Clapton",The Hulk (2003)
49,Emotions,Grief,"""Extremely Loud and Incredibly Close"" by Jonathan Safran Foer","""With or Without You"" by U2",12 Angry Men (1957)
50,Emotions,Grief,"""The Nightingale"" by Kristin Hannah","""My Heart Will Go On"" by Celine Dion",Amadeus (1984)
51,Emotions,Grief,"""Everything I Never Told You"" by Celeste Ng","""I Will Always Love You"" by Whitney Houston (originally by Dolly Parton)",Mean Girls (2004) -
52,Emotions,Grief,"""The Song of Achilles"" by Madeline Miller","""The Scientist"" by Coldplay",Boogie Nights (1997) -
53,Emotions,Grief,"""The Sound of Glass"" by Karen White","""Fix You"" by Coldplay",Single White Female (1992)
54,Emotions,Anger,"""The Rage of Dragons"" by Evan Winter","""Smells Like Teen Spirit"" by Nirvana",Bitter Moon (1992) -
55,Emotions,Anger,"""A Clockwork Orange"" by Anthony Burgess","""Break Stuff"" by Limp Bizkit",Pink Flamingos (1972)
56,Emotions,Anger,"""The Girl with the Dragon Tattoo"" by Stieg Larsson","""Killing in the Name"" by Rage Against the Machine",A Serbian Film (2010)
57,Emotions,Anger,"""The Hate U Give"" by Angie Thomas","""Given Up"" by Linkin Park",Cannibal Holocaust (1980) -
58,Emotions,Anger,"""The Red Badge of Courage"" by Stephen Crane","""Angry Again"" by Megadeth",Antichrist (2009)
59,Emotions,Anger," ""The Fight"" by Norman Mailer","""Bulls"" by Miike Snow",Raw (2016)
60,Emotions,Envy,"""Othello"" by William Shakespeare","""Jealous"" by Labrinth",
61,Emotions,Envy,"""Rebecca"" by Daphne du Maurier","""You're So Vain"" by Carly Simon",
62,Emotions,Envy,"""The Secret History"" by Donna Tartt","""Diamonds and Pearls"" by Prince",
63,Emotions,Envy,"""A Separate Peace"" by John Knowles","""Miss Independent"" by Ne-Yo",
64,Emotions,Envy,"""The Other Typist"" by Suzanne Rindell","""The One That Got Away"" by Katy Perry",
65,Emotions,Envy,"""Where'd You Go, Bernadette"" by Maria Semple","""Judas"" by Lady Gaga",
66,Emotions,Disgust,"""Fight Club"" by Chuck Palahniuk","""Disgustipated"" by Tool",
67,Emotions,Disgust,"""Geek Love"" by Katherine Dunn","""Sick Like Me"" by In This Moment",
68,Emotions,Disgust,"""Fight Club"" by Chuck Palahniuk","""I Don't Like Mondays"" by The Boomtown Rats",
69,Emotions,Disgust,"""The Wasp Factory"" by Iain Banks","""The Negative One"" by Slipknot",
70,Emotions,Disgust,"""The Dinner"" by Herman Koch","""One"" by Metallica",
71,Emotions,Disgust,"""Sick"" by Porochista Khakpour","""So What"" by P!nk",
0,Disorder,Neurodevelopmental disorder,"""The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism"" by Naoki Higashida -","""Lithium"" by Evanescence","""Rain Man"" (1988) - by Dustin Hoffman"
1,Disorder,Neurodevelopmental disorder,"""Neurotribes: The Legacy of Autism and the Future of Neurodiversity"" by Steve Silberman","""How to Save a Life"" by The Fray -","""Temple Grandin"" (2010) - "
2,Disorder,Neurodevelopmental disorder,"""ADHD 2.0: New Science and Essential Strategies for Thriving with Distraction--from Childhood through Adulthood"" by Edward M. Hallowell, M.D.","""Just Like a Pill"" by Pink -","""What's Eating Gilbert Grape"" (1993) - Arnie "
3,Disorder,Neurodevelopmental disorder,"""The Complete Guide to Asperger's Syndrome"" by Tony Attwood -","""One More Light"" by Linkin Park","""Extremely Loud & Incredibly Close"" (2011)- OSKER"
4,Disorder,Neurodevelopmental disorder,"""Far from the Tree: Parents, Children, and the Search for Identity"" by Andrew Solomon -","""Anxiety"" by Julia Michaels -","""The Accountant"" (2016)-  Christian Wolff "
5,Disorder,Neurodevelopmental disorder,"""The Dyslexic Advantage: Unlocking the Hidden Potential of the Dyslexic Brain"" by Brock L. Eide and Fernette F. Eide -","""Human"" by Christina Perri -"," ""Adam"" (2009) - adam"
6,Disorder,Neurodevelopmental disorder,"""The Boy Who Loved Too Much: A True Story of Pathological Friendliness"" by Jennifer Latson -","""1-800-273-8255"" by Logic ft. Alessia Cara & Khalid","""Mozart and the Whale"" (2005) - "
7,Disorder,Neurodevelopmental disorder,"""Thinking in Pictures: My Life with Autism"" by Temple Grandin ","""Puzzle Pieces"" by Saint Motel -","""Radio"" (2003) -  James Robert"
8,Disorder,Dyslexia,"""The Gift of Dyslexia: Why Some of the Smartest People Can't Read... and How They Can Learn"" by Ronald D. Davis -","""Do It Anyway"" by Ben Folds Five -",Darsheel safary (Taare zameen par)
9,Disorder,Dyslexia,"""Proust and the Squid: The Story and Science of the Reading Brain"" by Maryanne Wolf -","""Talk To Me"" by Stevie Nicks -","""The Secret Life of Words"" (2005) -  henna"
10,Disorder,Dyslexia,"""Thank You, Mr. Falker"" by Patricia Polacco -","""Different"" by Michael Tyler -","""Like Dandelion Dust"" (2009) - son"
11,Disorder,Dyslexia,"""The Alphabet War: A Story about Dyslexia"" by Diane Burton Robb -","""A Little Ray of Sunshine"" by Axiom","""Akeelah and the Bee"" (2006) - akeelah"
12,Disorder,Dyslexia,"""Fish in a Tree"" by Lynda Mullaly Hunt -",Solitary Shell by Dream Theatre,"""The Big Picture: Rethinking Dyslexia"" (2012) -"
13,Disorder,Dyslexia,"""Fish in a Tree"" by Lynda Mullaly Hunt -",Puzzle Box by Red Lamb,"""The Miracle Worker"" (1962) - helen keller"
14,Disorder,Dyslexia,"""Dyslexia Empowerment Plan: A Blueprint for Renewing Your Child's Confidence and Love of Learning"" by Ben Foss -",We’ll Get By – Johnny Orr Band,Woo Young-woo (Exraordinary Attorney Woo Young-woo)
15,Disorder,Dyslexia,"""The Dyslexic Advantage: Unlocking the Hidden Potential of the Dyslexic Brain"" by Brock L. Eide and Fernette F. Eide",Rainbow – Matthew Lien,Sam Gardener (Atypical)
16,Disorder,Dyslexia,"""Overcoming Dyslexia: A New and Complete Science-Based Program for Reading Problems at Any Level"" by Sally Shaywitz -",A.U.T.I.S.M - CupcakKe,Abed Nadir (Community)
17,Disorder,Autism,"""The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism"" by Naoki Higashida -","""A Different Way"" by The Wallflowers",Shaun Murphy (The Good Doctor)
18,Disorder,Autism,Eye Contact by Cammie McGovern.,"""Runaway"" by Aurora",Rizwan Khan (My name is Khan)
19,Disorder,Autism,"Please don't Hug Me by Kay Kerr
","""All the Lost Souls"" by Jesse Kinch",Moon Sang-tae (It's okay to not be okay)
20,Disorder,Autism,What to say next by Julie Buxbaum,"""Supermarket Flowers"" by Ed Sheeran",Nathan - A brilliant young mind (2014)
21,Disorder,Autism,"Something More by Jackie Khalilieh
","""I'm Not Ok"" by H.E.R. -",Fred - Little Man Tate (1991)
22,Disorder,Autism,On the Edge of Gone by Corinne Duyvis,"""Fireflies"" by Owl City -",Rizwan khan ( My name is Khan)
23,Disorder,Autism,"""Neurotribes: The Legacy of Autism and the Future of Neurodiversity"" by Steve Silberman","""Wired"" by Mallory Knox:",Asperger's are us (2016 documentary)
24,Disorder,Autism,"""Look Me in the Eye: My Life with Asperger's"" by John Elder Robison -","""Running Just to Catch Myself"" by Mark Schultz:",Donald Mortan (Mozart and the whale)
25,Disorder,Autism,"""The Autism Revolution: Whole-Body Strategies for Making Life All It Can Be"" by Martha Herbert and Karen Weintraub -","""Easier to Run"" by Linkin Park",Bart - The night clerk (2020)
26,Disorder,Autism,"""Uniquely Human: A Different Way of Seeing Autism"" by Barry M. Prizant -","""Hyperreal"" by Flume ft. Kučka","""ADD & Loving It ?!""   (2009)"
27,Disorder,Autism,"""Ten Things Every Child with Autism Wishes You Knew"" by Ellen Notbohm -","""ADHD"" by Joyner Lucas:","Dwayne- ""Little Miss Sunshine"" (2006)"
28,Disorder,Autism,"""The Curious Incident of the Dog in the Night-Time"" by Mark Haddon -","""Easier to Run"" by Linkin Park"," Molly Bloom -""Molly's Game"" (2017)"
29,Disorder,Autism,"""Thinking in Pictures: My Life with Autism"" by Temple Grandin -",Somebody's Watching Me by Rockwell," Howard Hughes-""The Aviator"" (2004) "
30,Disorder,Asperger,"""The Autistic Brain: Helping Different Kinds of Minds Succeed"" by Temple Grandin and Richard Panek -",Paranoid Android by Radiohead,"Patrick -""The Perks of Being a Wallflower"" (2012)"
31,Disorder,Asperger,House rules by Jodi Picoult,"Unwell 
by Matchbox 20","Charles Freck-""A Scanner Darkly"" (2006)"
32,Disorder,Asperger,The Curious Incident of the Dog in the Night-Time by Mark Haddon,"Who Can It Be Now
 by Men at Work",John Nash (  A beautiful mind )
33,Disorder,Asperger,Look Me in the Eye: My Life with Asperger's  by John Elder Robison,"Anti-Hero 
by Taylor Swift","Antony Baekeland
(Savage grace)"
34,Disorder,Asperger,Thinking in Pictures - by Temple Grandin,Sober- Demi Lavato,Nathaniel Ayers (The soloist)
35,Disorder,Asperger,All Cats Have Asperger Syndrome by Kathy Hoopmann,Graceless” by The National,Teddy Daniels ( Shutter Island)
36,Disorder,Asperger,"""Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant"" by Daniel Tammet -","Shake It Out"" by Florence + The Machine",Meethi ( 15 Park avenue)
37,Disorder,Asperger,"""Aspergirls: Empowering Females with Asperger Syndrome"" by Rudy Simone -",Scars” by I Am They,Karthik( Karthik calling karthik)
38,Disorder,Asperger,"""The Asperkid's (Secret) Book of Social Rules: The Handbook of Not-So-Obvious Social Guidelines for Tweens and Teens with Asperger Syndrome"" by Jennifer Cook O'Toole",Life Left To Go” by Safetysuit,Pat Solitano–Silver Linings Playbook (2012)
39,Disorder,Asperger,"""The Rosie Project"" by Graeme Simsion -",Pursuit of Happiness by Kid Cudi,Cam Stuart– Infinitely Polar Bear (2014)
40,Disorder,Asperger,"""The Journal of Best Practices: A Memoir of Marriage, Asperger Syndrome, and One Man's Quest to Be a Better Husband"" by David Finch",I’m Good by The Mowgli’s,Mr. Jones– Mr. Jones (1993)
41,Disorder,Asperger,"""Look Me in the Eye: My Life with Asperger's"" by John Elder Robison -",Simple Man by Shinedown,Ian Gallagher Shameless
42,Disorder,ADHD,"""Delivered from Distraction: Getting the Most Out of Life with Attention Deficit Disorder"" by Edward M. Hallowell, M.D., and John J. Ratey, M.D. -",Samskeyti by Sigur Rós, Lexi Donohoe- Mobern love ep.3
43,Disorder,ADHD,"""The ADHD Effect on Marriage"" by Melissa Orlov",Anchor Me” by The Tenors,VIncent Van gogh-- VIncent and theo (1990)
44,Disorder,ADHD,"""Faster Than Normal by Peter Shankman: ",Sound of Silence” by Simon and Garfunkel,Elizabeth Wurtzel (Prozac Nation)
45,Disorder,ADHD,"""Smart but Scattered"" by Peg Dawson and Richard Guare:",‘I Am A Rock’ by Simon and Garfunkel,The Darjeeling Limited
46,Disorder,ADHD,"""Driven to Distraction"" by Edward M. Hallowell and John J. Ratey:",Learn to Let Go” by Kesha,The Royal Tenenbaums
47,Disorder,ADHD,"""You Mean I'm Not Lazy, Stupid or Crazy?!"" by Kate Kelly and Peggy Ramundo",Elliott Smith caltalog,Little Miss Sunshine
48,Disorder,ADHD,"""The ADHD Effect on Marriage: Understand and Rebuild Your Relationship in Six Steps"" by Melissa Orlov -",All the way,Garden State
49,Disorder,ADHD,"""Smart but Scattered: The Revolutionary ""Executive Skills"" Approach to Helping Kids Reach Their Potential"" by Peg Dawson, Ed.D., and Richard Guare,",Frank Turner - Get Better,"The Secret Life of Walter Mitty,"
50,Disorder,ADHD,"""Taking Charge of ADHD, Third Edition: The Complete, Authoritative Guide for Parents"" by Russell A. Barkley -","Streetlight Manifesto - A better place, a better time",Ikiru
51,Disorder,ADHD,"""ADHD: What Every Parent Needs to Know"" by Michael I. Reiff, M.D., and Ann L. Brennan,",Irie Revolté - Continuer,Stranger than Fiction
52,Disorder,ADHD,"""Driven to Distraction: Recognizing and Coping with Attention Deficit Disorder from Childhood Through Adulthood"" by Edward M. Hallowell, M.D., and John J. Ratey, M.D.",Simon and Garfunkel - Bridge over troubled water,Under the Tuscan Sun
53,Disorder,"Schizophrenia 
","""The Center Cannot Hold: My Journey Through Madness"" by Elyn R. Saks -",Guards - Silver Lining,Whisper of the Heart
54,Disorder,"Schizophrenia 
",Hidden Valley road  by Robert Kolker,Daft Punk - One more time,Only Yesterday
55,Disorder,"Schizophrenia 
",The centre cannot hold : My journey through madness by Elyn Saks,Philter - Adventure Time,Everything Must Go
56,Disorder,"Schizophrenia 
",The day the voices stopped by Ken steele,Queen - Don't stop me now,AMELIE
57,Disorder,"Schizophrenia 
",A Kind of Mirraculas Paradise by Sandy Allen,WhoMadeWho - The sun,Big Fish
58,Disorder,"Schizophrenia 
", The Perfect Other: A Memoir of My Sister by Kyleigh Leddy,XX - VCR,Man of the Hour
59,Disorder,"Schizophrenia 
","""A Beautiful Mind"" by Sylvia Nasar -",Foals - Mountain at my gates,Everybody wants some
60,Disorder,"Schizophrenia 
","""The Quiet Room: A Journey Out of the Torment of Madness"" by Lori Schiller and Amanda Bennett -",Stromae - Ta fête,The way way back
61,Disorder,"Schizophrenia 
","""I Never Promised You a Rose Garden"" by Joanne Greenberg -",Postal Service - Such great Heights,It's kind of a funny story
62,Disorder,"Schizophrenia 
","""Surviving Schizophrenia: A Manual for Families, Patients, and Providers"" by E. Fuller Torrey -",Macklemore & Ryan Lewis - Can't hold us,Garden State
63,Disorder,"Schizophrenia 
","""The Collected Schizophrenias: Essays"" by Esmé Weijun Wang -",The Script - The Man who can't be moved,The perks of being a wallflower
64,Disorder,"Schizophrenia 
","""The Soloist: A Lost Dream, an Unlikely Friendship, and the Redemptive Power of Music"" by Steve Lopez -",Of Monsters and Men - Mountain Sound,Silver linings playbook
65,Disorder,"Schizophrenia 
","""Henry's Demons: Living with Schizophrenia, A Father and Son's Story"" by Patrick Cockburn and Henry Cockburn -",Mother Falcon - Marigold,Breakfast club
66,Disorder,Bipolar,"""An Unquiet Mind: A Memoir of Moods and Madness"" by Kay Redfield Jamison -",Milow - Against the Tide,When Harry met Sally
67,Disorder,Bipolar,"""An Unquiet Mind: A Memoir of Moods and Madness"" by Kay Redfield Jamison",MGMT - Kids,Dazed and Confused
68,Disorder,Bipolar,"""Madness: A Bipolar Life"" by Marya Hornbacher",Given to Fly - Pearl Jam,Hangover (1st one)
69,Disorder,Bipolar,"""Bipolar Happens! Taking Control of Bipolar Disorder"" by Julie A. Fast",30 Seconds to Mars - Kings and Queens,AIRPLANE
70,Disorder,Bipolar,"""Welcome to the Jungle:"" by Hilary Smith",Float On- Modest Mouse,Forgetting Sarah Marshall.
71,Disorder,Bipolar,"""Marbles: Mania, Depression, Michelangelo, and Me: A Graphic Memoir"" by Ellen Forney",It's Alright- Matt and Kim,When Silence of the Lambs came out
72,Disorder,Bipolar,"""Electroboy: A Memoir of Mania"" by Andy Behrman",Kokomo by The Beach Boys,"""Silver Linings Playbook"" (2012) - "
73,Disorder,Bipolar,"""Madness: A Bipolar Life"" by Marya Hornbacher -","""Anxiety"" by Julia Michaels ft. Selena Gomez -","""Anomalisa"" (2015) -Michael Stone  "
74,Disorder,Bipolar,"""Marbles: Mania, Depression, Michelangelo, and Me: A Graphic Memoir"" by Ellen Forney -","""Breathe (2 AM)"" by Anna Nalick -","""Melancholia"" (2011) - both sisters"
75,Disorder,Bipolar,"""Touched with Fire: Manic-Depressive Illness and the Artistic Temperament"" by Kay Redfield Jamison -","""Heavy"" by Linkin Park ft. Kiiara -","""Girl, Interrupted"" (1999) -"
76,Disorder,Bipolar,"""Bipolar Disorder: A Guide for Patients and Families"" by Francis Mark Mondimore -","""Chlorine"" by Twenty One Pilots -","""The Perks of Being a Wallflower"" (2012) - charlie"
77,Disorder,Bipolar,"""The Bipolar Disorder Survival Guide: What You and Your Family Need to Know"" by David J. Miklowitz -","""Don't Panic"" by Coldplay -","""It's Kind of a Funny Story"" (2010) -"
78,Disorder,Bipolar,"""Haldol and Hyacinths: A Bipolar Life"" by Melody Moezzi -","""Control"" by Halsey -","""The Skeleton Twins"" (2014) - estranged siblings "
79,Disorder,Bipolar,"""Electroboy: A Memoir of Mania"" by Andy Behrman","""Help!"" by The Beatles -","""Panic Room"" (2002) -"
80,Disorder,"Depression
",Feeling Good: The New Mood Therapy by David Burns,"""Unwell"" by Matchbox Twenty -","""Inside Out"" (2015) -  11-year-old girl "
81,Disorder,"Depression
",The Happiness Trap by Harris.,"""Demons"" by Imagine Dragons -","""Lilo & Stitch"" (2002) - LILO"
82,Disorder,"Depression
","""The consolation of philosophy"" by Alain De Botton.","""Mad World"" by Tears for Fears or Gary Jules -","""Kramer vs. Kramer"" (1979)"
83,Disorder,"Depression
","The Power of Vulnerability: Teachings on Authenticity, Connection, & Courage

by Brené Brown","""Ain't No Sunshine"" by Bill Withers -","""I Am Sam"" (2001) -"
84,Disorder,"Depression
",Six Pillars of Self Esteem by Nathaniel Branden,"""Somebody That I Used to Know"" by Gotye ft. Kimbra -","""Mrs. Doubtfire"" (1993) -"
85,Disorder,"Depression
",How to Have a Good Day by Caroline Webb,"""I'm Not the Only One"" by Sam Smith -","""The Parent Trap"" (1998) -"
86,Disorder,"Depression
",The Obstacle Is The Way by Ryan Holiday,"""I Will Always Love You"" by Whitney Houston (originally by Dolly Parton) -","""Punch-Drunk Love"" (2002) -"
87,Disorder,"Depression
",Man's Search for Meaning,"""Don't Speak"" by No Doubt","""Matchstick Men"" (2003) -"
88,Disorder,"Depression
",Siddhartha,"""Someone Like You"" by Adele -","""Black Swan"" (2010) -"
89,Disorder,"Depression
",“The Charisma Myth”,"""Control"" by Halsey -","""Melancholia"" (2011) -"
90,Disorder,"Depression
",Unpopular opinion,"""Heavy"" by Linkin Park ft. Kiiara -","""Silver Linings Playbook"" (2012) - pat solitano"
91,Disorder,"Depression
",7 habits of highly effective people,"""Unsteady"" by X Ambassadors -","""The Perks of Being a Wallflower"" (2012) - charlie"
92,Disorder,"Depression
",sphere of influence party,"""Paralyzed"" by NF",Copycat (1995) - Sigourney Weaver
93,Disorder,"Depression
",The Subtle Art of Not Giving a Fuck — Mark Manson,"""Mad World"" by Tears for Fears or Gary Jules -",Panic Room (2002) -
94,Disorder,"Depression
",Ghost Boy by Martin Pistorius,"""Be Alright"" by Dean Lewis -",Agoraphobia (2015) -
95,Disorder,"Depression
",The Power of Habit,"""Outside"" by Staind",Shut In (2016) - Naomi Watts 
96,Disorder,"Depression
",Furiously Happy,"""Comfortably Numb"" by Pink Floyd -",Housebound (2014) -
97,Disorder,"Depression
",Unf*ck Yourself,"""Hello"" by Evanescence -",Touched with Fire (2015) - Katie Holmes and Luke Kirby.
98,Disorder,"Depression
",Get Out Of Your Mind and Into Your life by Dr. Steve Hayes,"""In My Room"" by The Beach Boys -",Silver Linings Playbook (2012) -  Bradley Cooper Jennifer Lawrence 
99,Disorder,"Depression
","""Your erroneous zones"" by Wayne Dyer.","""Runaway"" by Aurora","Matchstick Men (2003) - Starring Nicolas Cage,"
100,Disorder,"Depression
",The Wisdom of No Escape: How to Love Yourself and Your World - Pema Chodron ,"""Numb"" by Linkin Park",The Soloist (2009) - Jamie Foxx
101,Disorder,"Depression
",“When things fall apart” by Pema Chodron,"""How to Save a Life"" by The Fray -",The Aviator (2004) - Howard Hughes
102,Disorder,"Depression
","""The Confidence Gap"" by Russ Harris.","""Control"" by Halsey -",As Good as It Gets (1997) - Jack Nicholson
103,Disorder,"Depression
",Radical Self Love- Gala Darling,"""Every Breath You Take"" by The Police",To the bones
104,Disorder,"Depression
",Love Yourself Like Your Life Depends on it,"""So Am I"" by Ava Max -",The Perks of Being a Wallflower (2012) - CHARLIE 
105,Disorder,"Depression
",Radical Acceptance of Everything by Ann Weiser Cornell,"""Secrets"" by OneRepublic -",Starving in Suburbia (2014)
106,Disorder,"Depression
",Psycho Cybernetics by Maxwell Maltz,"""Boulevard of Broken Dreams"" by Green Day",To the Bone (2017) -  Lily Collins
107,Disorder,"Depression
","The Way of Kings, by Brandon Sanderson","""Breathe Me"" by Sia -",Nip/Tuck (TV Series) -
108,Disorder,"Depression
",Guards! Guards! By Terry Pratchett,"""Scars to Your Beautiful"" by Alessia Cara",Swallow (2019) -
109,Disorder,"Depression
",Got me through bouts of terrible depression and a miscarriage.,"""Just the Way You Are"" by Bruno Mars -",Perfection (2012) -
110,Disorder,"Depression
",Hyperbole and a Half (by Allie Brosh),"""All About That Bass"" by Meghan Trainor","Chris Kyle 
(American Sniper)"
111,Disorder,"Depression
",The Discworld novels,"""Perfect"" by Pink -","Michèle Leblanc
(Elle) "
112,Disorder,"Depression
",The Anthropocene Reviewed by John Green,"""Try"" by Colbie Caillat -","Parry 
(The Fisher King)"
113,Disorder,"Depression
","Web comic - 
Cursed Princess Club  https://www.webtoons.com/en/comedy/cursed-princess-club/list?title_no=1537  ","""Beautiful"" by Christina Aguilera","Max Klein 
(Fearless) "
114,Disorder,"Depression
",Pachinko,"""Video"" by India.Arie","Tony Stark 
(Iron Man 3 ) "
115,Disorder,"Depression
",Agatha Christie's books,"Safe and Sound - 
Taylor Swift ",Marc spector/steven grant/ jake lockely (Moon knight)
116,Disorder,"Depression
",Summer lightning by P.G Woodhouse,"Survivor - Destiny's
child ",jane/kay( Doom patrol)
117,Disorder,"Depression
",Lost Connections by Johann Hari,"You gotta be - 
Des'ree",jane 9+ alters ( many sides of jane) 
118,Disorder,"Depression
",Lamb by Christopher Moore,"Keep breathing- 
Ingrid Michaelson ",Eliot Anderson (Mr. Robot)
119,Disorder,"Depression
","""The Color of Magic"" ","Silence - 
Marshello feat Khalid ",madison walker ( waking madison)
120,Disorder,"Depression
","""Small Gods.""", Valley of the Dolls by Marina ,tara gregson ( United states of Tara)
